Name: Alice
Salary: $50000
Bonus: $0.03
Pay: $500000.03
Name: Bob
Salary: $51000
Bonus: $0.03
Pay: $510000.03
Name: Charlie
Salary: $45000
Bonus: $0.03
Pay: $450000.03
Name: David
Salary: $70000
Bonus: $0.05
Pay: $700000.05
Name: Eva
Salary: $55000
Bonus: $0.04
Pay: $550000.04
Name: Frank
Salary: $48000
Bonus: $0.05
Pay: $480000.05
Name: Grace
Salary: $65000
Bonus: $0.04
Pay: $650000.04
Name: Hank
Salary: $45000
Bonus: $0.03
Pay: $450000.03
Name: Jack
Salary: $62000
Bonus: $0.06
Pay: $620000.06
Name: Kate
Salary: $49000
Bonus: $0.03
Pay: $490000.03
Name: Liam
Salary: $58000
Bonus: $0.06
Pay: $580000.06
Name: Mia
Salary: $55000
Bonus: $0.04
Pay: $550000.04
Name: Nina
Salary: $67000
Bonus: $0.05
Pay: $670000.05
Name: Oliver
Salary: $56000
Bonus: $0.05
Pay: $560000.05
Name: Penny
Salary: $47000
Bonus: $0.04
Pay: $470000.04
Name: Quinn
Salary: $69000
Bonus: $0.03
Pay: $690000.03
Name: Ruby
Salary: $50000
Bonus: $0.06
Pay: $500000.06
Name: Sam
Salary: $54000
Bonus: $0.03
Pay: $540000.03
Name: Tina
Salary: $66000
Bonus: $0.03
Pay: $660000.03
Name: Zane
Salary: $59000
Bonus: $0.06
Pay: $590000.06
Name: Ava
Salary: $51000
Bonus: $0.04
Pay: $510000.04
Name: Ben
Salary: $64000
Bonus: $0.03
Pay: $640000.03
Name: Chloe
Salary: $52000
Bonus: $0.06
Pay: $520000.06
Name: Dylan
Salary: $67000
Bonus: $0.05
Pay: $670000.05
Name: Emma
Salary: $55000
Bonus: $0.05
Pay: $550000.05
Name: Gwen
Salary: $70000
Bonus: $0.04
Pay: $700000.04
Name: Hugo
Salary: $58000
Bonus: $0.06
Pay: $580000.06
Name: Isla
Salary: $49000
Bonus: $0.03
Pay: $490000.03
Name: Jay
Salary: $71000
Bonus: $0.06
Pay: $710000.06
Name: Kylie
Salary: $53000
Bonus: $0.03
Pay: $530000.03
Name: Maya
Salary: $72000
Bonus: $0.03
Pay: $720000.03
Name: Nash
Salary: $56000
Bonus: $0.06
Pay: $560000.06
Name: Olivia
Salary: $47000
Bonus: $0.05
Pay: $470000.05
Name: Pax
Salary: $68000
Bonus: $0.04
Pay: $680000.04
Name: Quincy
Salary: $60000
Bonus: $0.04
Pay: $600000.04
Name: Rose
Salary: $64000
Bonus: $0.03
Pay: $640000.03
Name: Seth
Salary: $57000
Bonus: $0.06
Pay: $570000.06
Name: Uma
Salary: $62000
Bonus: $0.05
Pay: $620000.05
Name: Wyatt
Salary: $66000
Bonus: $0.03
Pay: $660000.03
Name: Zack
Salary: $60000
Bonus: $0.06
Pay: $600000.06
